audio_filepath,start,end,text,pronunciation
/kaggle/input/audio-files/Audio_Files/_v65uDbQTvg.wav,13.559,18.0,Λοιπόν Μαρία μου καλωσόρισες Είναι,lipˈon marˈia mu kˌalosˈorisˌes ˌine
/kaggle/input/audio-files/Audio_Files/_v65uDbQTvg.wav,15.44,20.199,τιμή μου που είσαι η πρώτη μας καλεσμένη,timˈi mu pu ˌise i prˈoti mas kˌalesmˈeni
/kaggle/input/audio-files/Audio_Files/_v65uDbQTvg.wav,18.0,23.68,στο,sto
/kaggle/input/audio-files/Audio_Files/_v65uDbQTvg.wav,20.199,26.279,Ουάου έννα πω εγώ να ξέρεις είμαι,uˈau ˈena pˈo eɣˈo na ksˈeris ˌime
/kaggle/input/audio-files/Audio_Files/_v65uDbQTvg.wav,23.68,28.439,καλότυχη Φερνογούρης συνήθως είμαι,kalˈotiçˌi fˌernoɣˈuris sinˈiθos ˌime
/kaggle/input/audio-files/Audio_Files/_v65uDbQTvg.wav,26.279,30.88,σίγουρος διότι αν λάβει κανείς υπόψιν,sˈiɣurˌoz ðiˈoti an lˈavi kanˈis ipˈopsin
/kaggle/input/audio-files/Audio_Files/_v65uDbQTvg.wav,28.439,33.76,τις επιτυχίες που είχε στο στίβο ε,tis ˌepitiçˈies pu ˌiçe sto stˈivo ˈepsilˌon
/kaggle/input/audio-files/Audio_Files/_v65uDbQTvg.wav,30.88,36.52,Χαρκόυμαι ότι εννεν τυχαίο πέρα από τον,xarkˈoimˌe ˈoti ˈenen diçˈeo pˈer apˌo ton
/kaggle/input/audio-files/Audio_Files/_v65uDbQTvg.wav,33.76,38.559,αγώνα που πρέπει να δίνεις για να,aɣˈona pu prˈepi na ðˈiniz janˌa
/kaggle/input/audio-files/Audio_Files/_v65uDbQTvg.wav,36.52,42.64,φτάσεις σε ένα σημείο Προταθλητησμου αλλά,ftˈasis se ˌena simˈio prˌotaθlitˈismu alˌa
/kaggle/input/audio-files/Audio_Files/_v65uDbQTvg.wav,38.559,44.92,αλήθεια η ιστορία σου έγινε λίγο πολύ,alˈiθça i ˌistorˈia su ˈejinˌe lˈiɣo polˈi
/kaggle/input/audio-files/Audio_Files/_v65uDbQTvg.wav,42.64,47.64,γνωστή γιατί εσύ επέλεξες να τη,ɣnostˈi jatˈi esˈi epˈeleksˌez na ti
/kaggle/input/audio-files/Audio_Files/_v65uDbQTvg.wav,44.92,50.0,δημοσιοποιήσεις έτσι Ναι χωρίς να το,ðˌimosjˌopiˈisis ˈetsi nˈe xorˈiz na to
/kaggle/input/audio-files/Audio_Files/_v65uDbQTvg.wav,47.64,52.32,περιμένω το ότι είναι να γίνει αλλά,pˌerimˈeno to ˈoti ˌine na jˈini alˌa
/kaggle/input/audio-files/Audio_Files/_v65uDbQTvg.wav,50.0,55.96,αλήθεια είναι αυτό ναι λοιπόν όμως πριν,alˈiθça ˌine aftˈo nˈe lipˈon ˈomos prˈin
/kaggle/input/audio-files/Audio_Files/_v65uDbQTvg.wav,52.32,59.239,πάμε να μας πεις ξανά να ε να θυμηθούμε,pˈame na mas pˈis ksanˈa na ˈepsilˌon na θˌimiθˈume
