,audio_filepath,start,end,text,pronunciation
0,/kaggle/input/audio-files/Audio_Files/-6Lid2vacKI.wav,1384.6,1389.08,θυμήσουμε θες λίγη σου πίτσα κατί ελαφρή,thimisume thez liji su pitsa kati elafri
1,/kaggle/input/audio-files/Audio_Files/-6Lid2vacKI.wav,1386.919,1391.159,να σου φτιάξω όι δάφνη μου σε ευχαριστώ,na su ftiakso oɪ thafni mu se efcharisto
2,/kaggle/input/audio-files/Audio_Files/-6Lid2vacKI.wav,1389.08,1393.559,το στομάχι μου είναι κόμπος δάφνη αν,to stomaçi mu ine koboz thafni an
3,/kaggle/input/audio-files/Audio_Files/-6Lid2vacKI.wav,1391.159,1396.44,θέλεις κάτι ο ματθαίος έννα το,thelis kati o mattheos ena to
4,/kaggle/input/audio-files/Audio_Files/-6Lid2vacKI.wav,1393.559,1399.32,ζητήσει αισθάνεται άνετα μαζί μας έ να,zitisi esthanete aneta mazi mas epsilontonos na
5,/kaggle/input/audio-files/Audio_Files/-6Lid2vacKI.wav,1396.44,1401.0,πιστεύω αύριο πρωίπρωί πετάμε για κύπρο,pistevo avrio proiproi petame ja cipro
6,/kaggle/input/audio-files/Audio_Files/-6Lid2vacKI.wav,1399.32,1404.679,αν φυσικά είσα σε κατάσταση να,an fisika isa se katastasi na
7,/kaggle/input/audio-files/Audio_Files/-6Lid2vacKI.wav,1401.0,1407.72,ταξιδέψεις μαθο έννα είμαι νεκταρ εν ξέρω,taksithepsiz matho ena ime nektar eŋ ɡzero
8,/kaggle/input/audio-files/Audio_Files/-6Lid2vacKI.wav,1404.679,1409.919,ήντα να πιστέψω καάν τα πάντα να της βάλω,ida na pistepso kaan da pada na tiz valo
9,/kaggle/input/audio-files/Audio_Files/-6Lid2vacKI.wav,1407.72,1411.72,μυλο,milo
10,/kaggle/input/audio-files/Audio_Files/-6Lid2vacKI.wav,1409.919,1413.72,λες να είναι κάποιος άλλος τζαί να μην,lez na ine kapios alos dze na min
11,/kaggle/input/audio-files/Audio_Files/-6Lid2vacKI.wav,1411.72,1416.279,πηγαίνει το μυαλό,pijeni to mialo
12,/kaggle/input/audio-files/Audio_Files/-6Lid2vacKI.wav,1413.72,1421.2,μας ποιος να είναι,mas pioz na ine
13,/kaggle/input/audio-files/Audio_Files/-6Lid2vacKI.wav,1416.279,1421.2,διαμαντ έλα μην κοροϊδευόμαστε,thiamad ela miŋ ɡoroɪthevomaste
14,/kaggle/input/audio-files/Audio_Files/-6Lid2vacKI.wav,1424.559,1430.48,πόσες φορές ακόμα πρέπει να σου πω για,poses fores akoma prepi na su po ja
15,/kaggle/input/audio-files/Audio_Files/-6Lid2vacKI.wav,1427.12,1433.36,να με πιστέψεις εν το έκανα εγώ εν,na me pistepsis en do ekana egho en
16,/kaggle/input/audio-files/Audio_Files/-6Lid2vacKI.wav,1430.48,1436.52,έβαλα κανέναν να πυροβολήσει το ματθαίο,evala kanenan na pirovolisi to mattheo
