,audio_filepath,start,end,text,pronunciation
0,/kaggle/input/audio-files/Audio_Files/7ZjZMMJFKEs.wav,996.319,1000.399,εν θυμότανε το επίθετό σου μέχρι τζιαμέ,en thimotane to epitheto su mechri dziame
1,/kaggle/input/audio-files/Audio_Files/7ZjZMMJFKEs.wav,998.399,1002.36,του είπα μετά του άλλαξα κουβέντα,tu ipa meta tu alaksa kuveda
2,/kaggle/input/audio-files/Audio_Files/7ZjZMMJFKEs.wav,1000.399,1004.48,λύσσαξε όμως ότι του θύμιζε κάτι,lissakse omos oti tu thimize kati
3,/kaggle/input/audio-files/Audio_Files/7ZjZMMJFKEs.wav,1002.36,1007.04,φυσιογνωμία σου εσένα εν σου θύμιζε,fisjoghnomia su esena en su thimize
4,/kaggle/input/audio-files/Audio_Files/7ZjZMMJFKEs.wav,1004.48,1009.199,τίποτα ναι εντελώς τίποτα όμως είχες,tipota ne edelos tipota omos içes
5,/kaggle/input/audio-files/Audio_Files/7ZjZMMJFKEs.wav,1007.04,1011.0,πελάτες απ τη θεσσαλονίκη ε πώς εν είχα,pelates ap ti thessalonici epsilon pos en icha
6,/kaggle/input/audio-files/Audio_Files/7ZjZMMJFKEs.wav,1009.199,1012.68,πολλού αλλά εν τους θυμάμαι κιι όλους,polu ala en dus thimame ci olus
7,/kaggle/input/audio-files/Audio_Files/7ZjZMMJFKEs.wav,1011.0,1015.519,αχ θεέ μου εν ξε φύγω ποτέ από το,ach thee mu eŋ ɡze figho pote apo to
8,/kaggle/input/audio-files/Audio_Files/7ZjZMMJFKEs.wav,1012.68,1017.6,παρελθόν αυτός έννα ξαναπεράσει είπε ήντα έννα,parelthon aftos ena ksanaperasi ipe ida ena
9,/kaggle/input/audio-files/Audio_Files/7ZjZMMJFKEs.wav,1015.519,1020.12,κάνεις δάφνη άμα αρχίσεις τις ερωτήσεις,kaniz thafni am arçisis tis erotisis
10,/kaggle/input/audio-files/Audio_Files/7ZjZMMJFKEs.wav,1017.6,1024.559,τον βλάκα έννα κάνω ήντα να κάνω αχ θεέ μου,ton vlaka ena kano ida na kano ach thee mu
11,/kaggle/input/audio-files/Audio_Files/7ZjZMMJFKEs.wav,1020.12,1026.88,βάλτο σιέρι σου σε παρακαλώ γενικά ε τζαί,valto sjeri su se parakalo jenika epsilon dze
12,/kaggle/input/audio-files/Audio_Files/7ZjZMMJFKEs.wav,1024.559,1028.48,τώρα που το θυμήθηκα ήντα κουλά ήταν αυτά,tora pu to thimithika ida kula itan afta
13,/kaggle/input/audio-files/Audio_Files/7ZjZMMJFKEs.wav,1026.88,1031.12,που μου λίγες στο τηλέφωνο τζαί γιατί με,pu mu lijes sto tilefono dze jati me
