,audio_filepath,start,end,text,pronunciation
0,/kaggle/input/audio-files/Audio_Files/ktvQVf7mQs8.wav,5113.639,5119.639,ατόμων τζαί όι των ιατροδικαστών όπως,atomon dze oɪ ton iatrothikaston opos
1,/kaggle/input/audio-files/Audio_Files/ktvQVf7mQs8.wav,5116.44,5122.239,απαιτούσε ο ο Σταυριανός να να παρέμβει,apetuse o o stavrianoz na na paremvi
2,/kaggle/input/audio-files/Audio_Files/ktvQVf7mQs8.wav,5119.639,5126.08,τζαί να να κάνει ανάξω Ναι Ναι Οι,dze na na kani anakso ne ne i
3,/kaggle/input/audio-files/Audio_Files/ktvQVf7mQs8.wav,5122.239,5127.92,ιατροδικαστές εξετάζουν πτώματα,iatrothikastes eksetazum btomata
4,/kaggle/input/audio-files/Audio_Files/ktvQVf7mQs8.wav,5126.08,5131.52,τζαί οι παθολογαρτόμοι,dze i pathologhartomi
5,/kaggle/input/audio-files/Audio_Files/ktvQVf7mQs8.wav,5127.92,5132.88,εξετάζουν ωστά,eksetazun osta
6,/kaggle/input/audio-files/Audio_Files/ktvQVf7mQs8.wav,5131.52,5135.639,Αν εν το γνωρίζουν κάποιοι να το,an en do ghnorizuŋ ɡapii na to
7,/kaggle/input/audio-files/Audio_Files/ktvQVf7mQs8.wav,5132.88,5137.96,μάθουν εν είχε καμία θέση ούτε ο,mathun en içe kamia thesi ute omikron
8,/kaggle/input/audio-files/Audio_Files/ktvQVf7mQs8.wav,5135.639,5140.0,Σταυριανός ούτε κάποιος που αν ήταν,stavrianos ute kapios pu an itan
9,/kaggle/input/audio-files/Audio_Files/ktvQVf7mQs8.wav,5137.96,5142.08,έτσι είχαμε τζαί εμείς ατοδικαστή να,etsi ichame dze emis atothikasti na
10,/kaggle/input/audio-files/Audio_Files/ktvQVf7mQs8.wav,5140.0,5144.44,φέρουμε τζαί τη φέρομαι τη γυναίκαν από,ferume dze ti ferome ti jinekan apo
11,/kaggle/input/audio-files/Audio_Files/ktvQVf7mQs8.wav,5142.08,5148.04,τη Ιγρίτη,ti ighriti
12,/kaggle/input/audio-files/Audio_Files/ktvQVf7mQs8.wav,5144.44,5150.679,Κύριε Αντρέα έννα προσπαθήσετε έτσι να,cirie adrea ena prospathisete etsi na
13,/kaggle/input/audio-files/Audio_Files/ktvQVf7mQs8.wav,5148.04,5152.44,ασκήσετε πίεση έννα κάνετε κάποιαν,ascisete piesi ena kanete kapian
14,/kaggle/input/audio-files/Audio_Files/ktvQVf7mQs8.wav,5150.679,5155.84,εκδήλωση έξω από τη νομική υπηρεσία αν όξα,ekthilosi ekso apo ti nomici ipiresia an oksa
15,/kaggle/input/audio-files/Audio_Files/ktvQVf7mQs8.wav,5152.44,5157.679,άλλως πώς ζητάτε τη συμμετοχή του κόσμου,alos poz zitate ti simetoçi tu kosmu
16,/kaggle/input/audio-files/Audio_Files/ktvQVf7mQs8.wav,5155.84,5159.76,ο οποίος σας αγκάλιασε τα τελευταία,o opios sas aŋɡaʎase ta teleftea
17,/kaggle/input/audio-files/Audio_Files/ktvQVf7mQs8.wav,5157.679,5162.84,χρόνια διότι αναγνώρισε το δράμα σας τζαί,chronya thioti anaghnorise to thrama sas dze
18,/kaggle/input/audio-files/Audio_Files/ktvQVf7mQs8.wav,5159.76,5164.719,το δίκαιο σε σας Ναι Κοιτάξτε είναι,to thiceo se saz ne citakste ine
19,/kaggle/input/audio-files/Audio_Files/ktvQVf7mQs8.wav,5162.84,5169.32,τζαί δύο είναι δύο μεγάλα εγκλήματα που,dze thio ine thio meghala eŋɡlimata pu
20,/kaggle/input/audio-files/Audio_Files/ktvQVf7mQs8.wav,5164.719,5171.96,μας συνεβήσαν τα οποία το πρώτον είναι,mas sinevisan da opia to proton ine
21,/kaggle/input/audio-files/Audio_Files/ktvQVf7mQs8.wav,5169.32,5176.08,ο φόνος του παιδιού μας τζαί το δεύτερο,o fonos tu pethiu mas dze to theftero
22,/kaggle/input/audio-files/Audio_Files/ktvQVf7mQs8.wav,5171.96,5179.159,είναι όλη αυτή η μαζική συγκάλυψη Ήταν,ine oli afti i mazici siŋɡalipsi itan
23,/kaggle/input/audio-files/Audio_Files/ktvQVf7mQs8.wav,5176.08,5182.719,ένα,ena
